Date,Season,Country,Region,Aircraft,Operator,Schedule,Total on board,Survivors,Total fatalities,Crash cause
1920-01-19,Winter,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Unknown
1920-02-03,Winter,Germany,Europe,Junkers F.13,Junkers Flugzeug %26 Motorenwerke,Dessau - Dessau,4,No,4,Unknown
1920-02-04,Winter,Sudan,Africa,Vickers FB.27 Vimy Commercial,South African Air Force,Brooklands - Derna - Wadi Halfa - Bulawayo - Cape Town,2,Yes,0,Technical failure
1920-02-09,Winter,United States of America,North America,Junkers-Larsen JL-6 (Junkers F.13),U.S. Air Mail Service,,3,No,3,Unknown
1920-02-22,Winter,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-02-23,Winter,South Africa,Africa,Handley Page O/7,Handley Page Transport,,9,Yes,0,Technical failure
1920-02-25,Winter,Sudan,Africa,Handley Page H.P.12,Handley Page Transport,Aswan - Khartoum,4,Yes,0,Technical failure
1920-02-26,Winter,Malaysia,Asia,Avro 504,T. K. Wong Ltd,,2,Yes,1,Unknown
1920-02-27,Winter,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-02-28,Winter,Tanzania,Africa,Vickers FB.27 Vimy Commercial,Vickers-Armstrongs Ltd,Brooklands – Cairo – Gebelein – Kisumu – Mwanza – Tabora – Cape Town,5,Yes,0,Technical failure
1920-03-05,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-03-05,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-03-05,Spring,Mexico,Central America,De Havilland DH.4,United States Army Air Service - USAAS,,1,Yes,0,Technical failure
1920-03-06,Spring,Zimbabwe,Africa,Vickers FB.27 Vimy Commercial,South African Air Force,Wadi Halfa – Bulawayo – Cape Town,2,Yes,0,Unknown
1920-03-06,Spring,Switzerland,Europe,Farman F.40,Martin Seidler,Porrentruy - Porrentruy,1,Yes,0,Unknown
1920-03-07,Spring,Spain,Europe,Salmson 2.A2,Lignes Aériennes Latécoère,,1,Yes,0,Unknown
1920-03-10,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Chicago – Cleveland,1,No,1,Human factor
1920-03-18,Spring,United Kingdom,Europe,De Havilland DH.16,Aircraft Transport %26 Travel - AT%26T,Paris - Hounslow Heath,1,Yes,0,Technical failure
1920-03-18,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,1,Yes,0,Technical failure
1920-03-24,Spring,United States of America,North America,Junkers-Larsen JL-6 (Junkers F.13),Junkers-Larsen,Roosevelt Field - Roosevelt Field,1,Yes,0,Technical failure
1920-03-26,Spring,Egypt,Africa,Handley Page H.P.12,Royal Air Force - RAF,,0,,0,Unknown
1920-03-30,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Bellefonte - Heller Field,1,No,1,Human factor
1920-03-31,Spring,United Kingdom,Europe,Avro 504,Handley Page Transport,Cricklewood - Biggin Hill,2,Yes,0,Technical failure
1920-04-01,Spring,Sudan,Africa,Handley Page H.P.12,Royal Air Force - RAF,Khartoum - Cairo,4,No,4,Unknown
1920-04-10,Spring,United States of America,North America,Curtiss R-4LM,U.S. Air Mail Service,Bustleton – Washington DC,2,Yes,1,Technical failure
1920-04-11,Spring,United States of America,North America,Curtiss JN-4,U.S. Air Mail Service,,2,Yes,1,Unknown
1920-04-12,Spring,Spain,Europe,Breguet 14,Lignes Aériennes Latécoère,,1,Yes,0,Unknown
1920-04-15,Spring,United Kingdom,Europe,Avro 504,Vickers-Armstrongs Ltd,,1,Yes,0,Unknown
1920-04-16,Spring,United Kingdom,Europe,Avro 504,W. G. Pudney,,1,Yes,0,Unknown
1920-04-19,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Human factor
1920-04-22,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Bellefonte – Cleveland,1,Yes,0,Technical failure
1920-04-22,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-04-27,Spring,World,World,Nieuport-Delage NiD-30,Compagnie Générale Transaérienne - CGT,Paris - Hounslow Heath,1,No,1,Unknown
1920-04-29,Spring,Colombia,South America,Farman F.40,Compañia Colombiana de Navegación Aérea,Barranquilla - Barranquilla,4,Yes,1,Weather
1920-04-29,Spring,United Kingdom,Europe,Felixstowe F.5,Royal Air Force - RAF,Felixstowe - Felixstowe,6,Yes,4,Unknown
1920-04-30,Spring,United Kingdom,Europe,Avro 504,Vickers-Armstrongs Ltd,Joyce Green - Brooklands,1,Yes,0,Unknown
1920-05-04,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Chicago – Cleveland,1,Yes,0,Technical failure
1920-05-12,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Omaha – Iowa City – Chicago,2,Yes,1,Human factor
1920-05-15,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Human factor
1920-05-16,Spring,Spain,Europe,Breguet 14,Lignes Aériennes Latécoère,,1,Yes,0,Unknown
1920-05-21,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-05-22,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-05-24,Spring,Switzerland,Europe,Savoia S.16,Ad Astra Aero,Romanshorn - Romanshorn,2,No,2,Technical failure
1920-05-25,Spring,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,,0,Human factor
1920-05-28,Spring,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-06-02,Summer,Germany,Europe,Junkers F.13,Junkers Flugzeug %26 Motorenwerke,Dessau - Dessau,1,No,1,Unknown
1920-06-04,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,Yes,0,Technical failure
1920-06-06,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,Cleveland – Chicago,3,No,1,Technical failure
1920-06-08,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-06-09,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-06-10,Summer,United Kingdom,Europe,De Havilland DH.16,Aircraft Transport %26 Travel - AT%26T,Paris - Croydon,4,Yes,0,Technical failure
1920-06-12,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-06-22,Summer,United States of America,North America,De Havilland DH.4,U.S. Air Mail Service,,0,Yes,0,Technical failure
1920-06-24,Summer,United Kingdom,Europe,Avro 504,S. Summerfield Company,Bournemouth - Peterborough,3,Yes,3,Technical failure
1920-06-30,Summer,Sweden,Europe,Handley Page H.P.12,Handley Page Transport,Kjeller – Karlstad – Stockholm - Copenhagen,7,Yes,0,Human factor
1920-07-01,Summer,Indonesia,Asia,Avro 504,Royal Netherlands East Indies Air Force - ML-KNIL,Kalijati - Kalijati,1,Yes,0,Unknown
1920-07-04,Summer,United Kingdom,Europe,Avro 504,Central Aircraft Company,Twickenham – Northolt,2,Yes,0,Unknown
1920-07-04,Summer,Cuba,Central America,Curtiss JN-4,Cuban Air Force - Cuerpo de Aviación del Ejército de Cuba,Havana – Jagüey Grande,2,No,2,Unknown
1920-07-10,Summer,United States of America,North America,Avro 504,Gordon L. Groah,Salisbury - Salisbury,3,Yes,2,Unknown
1920-07-10,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-07-10,Summer,United States of America,North America,De Havilland DH.4,United States Army Air Service - USAAS,,0,,0,Unknown
1920-07-12,Summer,United Kingdom,Europe,Avro 504,Eastbourne Aviation,Eastbourne - London,3,Yes,0,Technical failure
1920-07-12,Summer,Norway,Europe,Supermarine Channel I/II,Royal Norwegian Navy,Horten - Oslo,3,Yes,0,Weather
